Rate,Review,Sentiment
1,bajaj food processeor,very negative
3,why is this so overpriced at flipkart,neutral
1,product is not working,very negative
3,over priced at flip kart check out rate in other online stores,neutral
3,where i get the service ,neutral
3,flipkart is brilliant but bajaj is bad,neutral
3,gud quality by bajaj and packing is also very gud by flipkart,neutral
1,worst service from flipkart this time,very negative
2,dont waste your money,negative
5,fabulous till now ,very positive
1,"poor quality, dont waste your money ",very negative
5,top notch product with genuine price,very positive
5,awsome product,very positive
5,inalsa food processor,very positive
3,three stars,neutral
1,one star,very negative
4,good quality and value for money,positive
1,defective product,very negative
5,fantastic product and excellent delivery from flipkart,very positive
4,disappointed,positive
5,superb quality,very positive
5,its what you need in kitchen,very positive
5,kitchen friend,very positive
1,packing itself was in doubtful state not working at all,very negative
5,two stars,very positive
1,worst product and service including service staff,very negative
3,met expectations,neutral
1,feel worst experience,very negative
1,product not working,very negative
4,item looking good but it was not full as describe in detail,positive
1,very bad product,very negative
5,nice food processor,very positive
1,low quality product,very negative
4,the best product for flipkart,positive
5,best for cooking,very positive
5,nice feeling,very positive
5,"does what it says, amazing service from flipkart",very positive
4,"beware, you might get a habits to just ask assistant",positive
4,hidden costs,positive
5,delightful purchase  got bad habit of speaking to assistant,very positive
5,if you have wifi at home then go for it,very positive
5,honest review,very positive
3,buy if you need a small portable wired speaker,neutral
5,cool device,very positive
4,worth the money review on first use,positive
5,a must have gadget for a smart home,very positive
5,fabulousawesome smart home device with display love it,very positive
5,superb value for money product,very positive
1,waste of money bad sound bad mic,very negative
3,not as expected it to be may be upgrade can make it better,neutral
5,excellent product from google,very positive
1,same as google home mni,very negative
2,expected a better product,negative
4,simply ordinary,positive
1,sound is not upto the mark,very negative
1,worthless product,very negative
5,just wow most deserved smart speaker,very positive
1,terrible product from google,very negative
3,decent product  to buy only if you have wifi router at home,neutral
5,meet the expections,very positive
3,only for rich kids,neutral
5,"good genuine product, working as expected",very positive
1,reading is wrong,very negative
1,not suitable for industrial work,very negative
5,timberwood pure leather shoes,very positive
5,super super super,very positive
5,fabulousi,very positive
5,low cost good quality hot water bag,very positive
4,four stars,positive
4,good quality,positive
5,good medicine box,very positive
5,great going,very positive
4,good choice but need to improve delivery lead time,positive
3,dulcet dcd9000x,neutral
4,ok for beginners ,positive
4,a good amp to drive components and basic bass tube,positive
5,good amplifier,very positive
4,the best speakers in this cost,positive
5,awesome at this price,very positive
4,pretty good and worth buying,positive
4,value for money,positive
4,mind blowingsony speaker ,positive
5,good one in this price range,very positive
5,awesome speakers,very positive
5,awesome sound,very positive
4,good for the price,positive
5,dina,very positive
1,so wrong,very negative
5,very good performance,very positive
2,sound boss,negative
3,faced minor issues,neutral
1,worst,very negative
5,the product was amazing worth buying,very positive
5,superb,very positive
5,awesome,very positive
5,great buy,very positive
5,bella vita organic luxury unisex perfume gift,very positive
5,brilliant perfume,very positive
4,quality is good,positive
5,,very positive
5,excellent skater roll and shoe,very positive
5,quality,very positive
5,excellent but its very risky,very positive
4,good qiality skating shoe,positive
5,quality product,very positive
5,excellent and the delivery man was very kind,very positive
5,intelligent design and materials,very positive
5,,very positive
5,lakme kajal,very positive
1,unclear specifications,very negative
5,work the money for every penny,very positive
4,"black color is not good size, fitting and elastic are good",positive
1,absolute rubbish product,very negative
3,not bad,neutral
1,bakwas product,very negative
5,best decided for it,very positive
5,ut7002s26 model is a nononsense bicycleworth buying,very positive
3,good with not so great service,neutral
4,good cycle,positive
1,warranty is fake,very negative
5,very very good product,very positive
5,new one,very positive
3,average ball,neutral
4,good for its price,positive
5,best product  best price  just go for it ,very positive
5,pretty good quality,very positive
5,good for hard ground,very positive
4,awesome but quite hard,positive
1,the ball is no good not recommended,very negative
5,nivia storm football size 5,very positive
4,awesomeðñðóðñðóvalue for moneydouble thumbs up for that,positive
3,"grip,toughness and design",neutral
3,"product rating,",neutral
5,good product,very positive
5,simply awesome excellent go for it,very positive
5,love this product very much,very positive
5,nivia storm football,very positive
5,brilliantly ball,very positive
5,best ball,very positive
4,good football,positive
5,great ball,very positive
4,nice for kids and teens ,positive
4,great,positive
4,tough but not like the pic shown here ,positive
5,best buy for 500,very positive
3,football,neutral
5,good,very positive
5,good ball,very positive
4,rubber will hurt,positive
2,worst football ever good service by flipkart,negative
4,dont buy,positive
1,veryy poor,very negative
1,not for kids below 12 years,very negative
3,very hard n heavy,neutral
2,"1 product quality  2 stars, delivery  5 stars",negative
1,worst football,very negative
2,a first worst product by flipkart,negative
3,different type of football,neutral
5,fantastic,very positive
2,very bad,negative
2,very hard ball,negative
1,very bad quality,very negative
3,not as soft as it appears,neutral
3,sexy design,neutral
5,best ball ever,very positive
1,do not waste yr money on this ,very negative
3,average product,neutral
4,hardground football,positive
1,"very bad,,, not at all suitable for such a nice platform like flipkart",very negative
5,a good ball to buy,very positive
5,world class product at deep discount on big billion day ,very positive
4,good performance,positive
4,just go fot it if you want decent gaming keyboard in budget,positive
3,only one ram slot,neutral
4,best in the budget,positive
5,beast in this range,very positive
5,best laptop ever budget gaming,very positive
4,great purchase,positive
5,the best laptop you could get for 63kjust go for it,very positive
4,good for simple work and medium gaming,positive
5,beast,very positive
5,best choice,very positive
5,it performs great,very positive
5,great deal for a budget gaming laptop,very positive
5,thik hi hai,very positive
1,stops working after return period,very negative
5,best mechanical keyboard under 2000,very positive
4,"good in performance, but need improvement in design",positive
5,excellent laptop,very positive
4,value for money  got it in 61k,positive
5,"terrific, more than i expected",very positive
5,monstrous performance  budget,very positive
5,best product for the price,very positive
5,mid range beast ryzen  i5,very positive
2,"bad quality, drivers faililng within 2 weeks of usage",negative
5,worth every penny,very positive
4,"except for sound and battery, all is good",positive
1,did not meet expectation,very negative
4,best in class,positive
5,mindblowing purchase  just for it,very positive
5,awesome m1 chip air,very positive
5,best buy at this point in time october 2021,very positive
5,an absolute beast,very positive
1,"invoice serial number mismatch issue,apple support rejecting",very negative
5,just go for it,very positive
2,worst camera,negative
4,perfect for video editing but not for general users,positive
5,buy and enjoy,very positive
5,amazing performance,very positive
5,"worth every penny, with next day delivery as promised",very positive
5,one of the best in the market,very positive
5,superb,very positive
5,great laptop,very positive
5,lenovo is the best,very positive
4,delightful product,positive
4,good performance,positive
5,preinstall windows 11,very positive
5,great mixer,very positive
1,great looks mixer but worst designed jars,very negative
5,real performer,very positive
3,good but could have been better,neutral
3,"butterful rapid mixer  just ok product, not excellent ",neutral
5,never you can miss,very positive
5,best ever mixer grinder  recommended  butterfly rocks,very positive
1,worst product ever,very negative
1,west money,very negative
1,damage product delivery and quality is very poor,very negative
1,stopped working in 4 months,very negative
1,"3rd class , cheap product , dont buy",very negative
1,dont waste your moneyworst product,very negative
1,absolute rubbishnot good,very negative
3,reviewing after an year of use,neutral
4,looking good,positive
1,build quality is not good,very negative
1,burning smell,very negative
2,this item is very bad and not useful,negative
1,worst flipkart service,very negative
5,"great product, great service by flipkart",very positive
5,excellent product in the given price range,very positive
5,excellent for the price,very positive
5,nice product and very fast delivery,very positive
4,nice product in this price,positive
5,value of money,very positive
5,best buy,very positive
4,bajaj mixer grinder,positive
4,optimal for small family,positive
4,nice and useful product,positive
5,good product  lowest price ever only  flipkart,very positive
5,nice to see this product in very less rate,very positive
5,best deal in market ,very positive
5,amazing good for its price,very positive
4,bajaj gx 1 mixer grinder,positive
5,amazing product for its price,very positive
4,good stuff with reasonable price only in flipkart,positive
4,"good one, needs more improvement",positive
4,nice product in this price,positive
4,power grinder,positive
4,goodwill,positive
5,nice mixer,very positive
5,very good product in a valuable price,very positive
2,not good gx1,negative
5,good but nothing fancy,very positive
5,excellent product at this price,very positive
1,switch has stopped working,very negative
1,not good product,very negative
1,about product,very negative
1,fine quality,very negative
2,mixer review,negative
4,not worth,positive
1,no 1 worst product,very negative
3,50  50,neutral
1,"really bad product, worst service from flipkart",very negative
5,nice mixer  nice price,very positive
1,"heats up soon, disappointed",very negative
5,great brand  more than 6 years,very positive
1,pls refund the amount and take your machine back,very negative
1,worst experience,very negative
2,economical but poor quality,negative
1,too noisy dont buy full stop,very negative
2,poor product quality,negative
3,bajaj gx1 500 w mixer grinder,neutral
2,seems little low power of motor,negative
1,not expected this product,very negative
4,very good product at reasonable price,positive
5,good for its price,very positive
1,very bad,very negative
5,great deal at this price,very positive
2,came with broken cover,negative
3,bought this for making chutney bt couldnt get max use of it,neutral
2,"the motor is good, but the engineering is terrible",negative
1,poor quality,very negative
2,stopped working after 5 mins,negative
4,good product quick delivery,positive
5,nice do give discount sometime please,very positive
5,good for 20w or below requirement,very positive
5,happy it is working well,very positive
5,perfect product ,very positive
1,unsatisfactory took 11 days to deliver,very negative
5,best and elegant for tabletop,very positive
3,acceptable,neutral
5,economical feature phone with good functionality,very positive
5,best smartphone under 10k,very positive
5,good product and delivery,very positive
5,micro,very positive
5,otg,very positive
4,worth in this price,positive
1,not advisable to buypoor quality,very negative
4,fine,positive
5,working good worth in price,very positive
5,great power bank from mi,very positive
4,good power bank,positive
1,waste of money,very negative
5,excellent product,very positive
1,defective item sent,very negative
5,chepest cardtige,very positive
5,genuine product,very positive
5,a good product,very positive
5,good product if you have guts,very positive
4,canon black ink cartridge,positive
2,alam,negative
4,hp 46 cartridge,positive
1,not detecting in my printer it is too bad,very negative
1,never purchase from rbstore seller,very negative
5,goodgo ahead and orderno issues,very positive
4,worth the moneygood,positive
5,cannon pg47,very positive
1,very less pages,very negative
2,will print maximum 100 pages,negative
1,stop selling this and stop buying this,very negative
1,cheated,very negative
5,canon best always,very positive
3,not so efficient,neutral
4,amazing coloured prints ,positive
5,best to buy from flipkart,very positive
5,cost effective and great quality prints,very positive
5,cartridge delivered  superfast and well packed,very positive
1,hands off flipkart,very negative
1,hp sells ink  head and not printer,very negative
5,excellent service,very positive
5,good seller and genuine ink,very positive
5,good buy a genuine cartridge,very positive
5,"fast shipping, genuine product",very positive
4,a very nice product,positive
5,impressive,very positive
5,works well,very positive
2,"good, but very costly",negative
5,loooong lasting,very positive
5,"great experience, quality and yield",very positive
5,hp 678 black ink cartridge,very positive
5,good,very positive
4,good product,positive
5,best print at low cost  ,very positive
5,vfm cartridge,very positive
5,"flipkart, as good as always",very positive
5,quality product and great service from flipkart,very positive
5,hp combo pack 678 inkjet cartridge,very positive
5,awesome deal,very positive
5,excellent print jobs,very positive
5,good quality product at a great price,very positive
1,hp black 678,very negative
5,no problem with this product,very positive
2,expensive,negative
5,value for money  good product,very positive
2,capacity is too low,negative
5,great product from samsung,very positive
5,wonderful fridge,very positive
4,good choice but bad installation,positive
5,best in class refrigerator,very positive
5,best in the market at this price range,very positive
1,old product and have scratch on face,very negative
2,heating issue,negative
4,nice product,positive
1,low quality,very negative
5,superb,very positive
3,good toy,neutral
5,works best with pppoe type cable internet rj45,very positive
5,"brilliant device with a decent price if you are using any cable broadbandtikona,local cable broadband that do not require a telephone line",very positive
4,works very well as a repeater,positive
5,excellent router compare to tplink tlwr841 n 300,very positive
5,awesome  insane,very positive
4,works excellent,positive
4,almost good,positive
5,dlink,very positive
4,supports win81 and cable broadband,positive
5,great experience,very positive
4,prithvi,positive
4,best router avaiable,positive
5,good router,very positive
5,very good product,very positive
5,shipping was real quick,very positive
5,wireless range is good,very positive
4,upgrade your network,positive
1,really bad product,very negative
5,excellent range,very positive
5,working good and osm speed nice,very positive
4,good working,positive
3,signal is not much strong,neutral
5,best router and ap,very positive
4,liked it,positive
5,awesome deal,very positive
5,good,very positive
5,worth,very positive
4,compare to other router it is really good,positive
4,d link the best,positive
4,best routes,positive
3,the dlink product is good to purchase,neutral
4,dlink dir615 wireless n 300 router,positive
3,not a great product comparing to its price,neutral
3,poor signal,neutral
1,not working,very negative
2,old hardware and old software,negative
5,got a good router after doing a lot of research,very positive
5,very good router,very positive
5,excellent product at reasonable price,very positive
1,this model has issue in wifi,very negative
1,do not buy this router,very negative
3,great build quality  features but unreliable,neutral
5,go for it,very positive
5,easy to setup,very positive
3,issue with range,neutral
5,good purchase,very positive
1,dont waste your money,very negative
4,consistent performer,positive
4,pretty good product,positive
5,good product  enhances range,very positive
4,excellent product with great build quality,positive
5,the best in the class,very positive
5,excellent in terms of compatibility  performance,very positive
5,easy installation and nice product,very positive
5,"good product, but doesnt work out of box if your main router is tplink",very positive
5,performs what it was designed for,very positive
3,dont buy this if you are on high speed internet connection,neutral
5,its good,very positive
2,good product in repeating wifi but not the speed of host net,negative
5,happy with it,very positive
5,great product and giving consistent 300mbps using jio fiber,very positive
5,awesome product and good styling,very positive
5,"versatile, simple and a performer",very positive
5,best product thanks flipkart,very positive
5,best buy perfect for daily needs,very positive
5,best buy for a beginner,very positive
5,wow  excellent demo by singer in person even in covid times,very positive
5,"excellent, works well",very positive
5,very much satisfied with the product,very positive
4,good and easy to use,positive
2,faulty at times multiple needles broke,negative
5,best sewing machine,very positive
5,must buy working as designed and as described,very positive
5,really great product,very positive
5,excellent  supernb,very positive
5,nice product by singer,very positive
5,excellent product user friendly,very positive
5,very good product price increased now,very positive
4,very goodreat product,positive
5,a quality product,very positive
5,best sewing machine,very positive
5,affordable price with good features and quality,very positive
5,"best in its class, borderless with ips panel",very positive
1,"useless product, worst",very negative
5,terrific product for the price,very positive
5,nice tv,very positive
3,good tv for price but needs improvement,neutral
1,hated it this tv has issues with connecting to wifi ,very negative
1,worst installlation service provided,very negative
4,"really nice, value for money",positive
5,terrific purchase considering the price point ,very positive
4,worth money,positive
4,good quality and valueformoney,positive
4,value for money product,positive
2,bad clarity,negative
5,want to buy a budget tvthis is the right choice for fhd,very positive
5,internet is not working properly,very positive
4,good tv  now 4k option makes more sense,positive
3,6 months usage review,neutral
5,just wow my parents are loving it,very positive
5,"nice picture, good sound and really smart tv",very positive
5,good choice,very positive
3,okay tv,neutral
3,"good product, not great",neutral
5,wow product if you want to see your own dreams in this tv,very positive
4,worth the price  room for improvement and software upgrade,positive
5,must buy its awesome excellent features,very positive
5,monster ,very positive
4,vfm  primarily designed to move away from cable,positive
5,good product in budget,very positive
5,a wonderful product,very positive
3,not a full smart tv,neutral
4,picture settings not getting applied to hdmi  av input,positive
5,wise deal for the price,very positive
4,excellent buy at the affordable cost,positive
4,careful to opt exchange,positive
5,"fabulous product with lot of features, yet within the budget",very positive
4,mi means trust from now on,positive
1,improper sync between audio and videoaudio is being delayed,very negative
5,marvelous,very positive
5,best in the market go for it,very positive
4,really nice product,positive
2,not starting after 1 month after purchage,negative
1,"worst, pure chinese product, never waste your hard earned rs",very negative
4,ok for the price,positive
1,very very bad and worthless tv and i feel bad service tv,very negative
5,must buy if planning to buy,very positive
4,mi tv,positive
4,good for the price,positive
5,mind blowing purchase,very positive
4,fantastic,positive
3,tv review,neutral
1,"very bad product , dont buy this",very negative
4,the best regular tv for a nonsmart experience,positive
1,horrible brand panel gone in 18 months,very negative
3,just okaytv is good but delivery guy behavior was not good,neutral
5,execllent,very positive
5,easy to carry around and have a rich sound signature,very positive
5,super melodious and crisp sound,very positive
5,awesome soundbar,very positive
5,i love it,very positive
5,great value,very positive
3,recamended product,neutral
1,full disappointed ðòðâ°ðó®ðó®ðó®ðð,very negative
5,awesome bass loved it,very positive
3,boat soundbar,neutral
5,awesome ,very positive
5,worth every pennyvery good product,very positive
5,great bluetooth speakers,very positive
5,high class speakers,very positive
5,great product,very positive
4,quality product from philips,positive
5,satisfied,very positive
5,better than expected,very positive
3,sound over bluetooth cracks sometimes,neutral
5,works perfectly with crt tv no better option than this,very positive
3,not fixed on tv hdmi slot due to unavailability of space,neutral
2,"risky investmentfull of bugs, lags  hangs",negative
3,a good handy 4k media streamer with few problems,neutral
5,its good but comes with few caveats,very positive
2,"not good if display device is a monitors, no seperate audio",negative
5,another nice google product,very positive
5,excellent product,very positive
5,really recommended and works great,very positive
5,good product and easy setup,very positive
5,literally life changing,very positive
5,worth every dime,very positive
5,"highly recommended, amazing product by google",very positive
4,working fine with bsnl 3g,positive
3,"great product, but made in china false info by flipkart",neutral
1,not recommended at allused product,very negative
3,"great product, horrible service",neutral
1,worst than expected,very negative
1,worst experience ever do not buy,very negative
1,hated itsecond hand box received,very negative
4,catvision settop box,positive
4,good alternative to fire tv stick,positive
5,box,very positive
3,poor value for money,neutral
4,flipkarts service is very good and satisfactory,positive
5,powerful suction,very positive
5,affordable as well as very very portable vacuum cleaner,very positive
5,go ahead and buy,very positive
5,excellent must buy,very positive
5,excellent product from agaro,very positive
5,best one in this price range,very positive
5,the product is best for cleaning your home,very positive
4,a nice product,positive
4,nice trendy and easy to carry,positive
5,pretty cool product,very positive
5,economic and easy to operate recommended ,very positive
2,rubbish,negative
3,eureka forbes trendy zip dry vacuum cleaner,neutral
1,utterly disappointed ,very negative
4,"descent product quite good, not the best",positive
3,just okay yes,neutral
1,2 weeks still no installation,very negative
4,"was initially skeptical on new brand, worth a shot",positive
5,awesome product within this price range,very positive
5,this is early review will update later,very positive
3,insurance more charges paid ,neutral
4,good and vaule for money,positive
1,not at its brand level,very negative
2,choose another washing machine better if you choose samsung,negative
4,good product at really low price,positive
5,5 star product,very positive
3,good product but charges for installation and pipes,neutral
5,must buy its an excellent product,very positive
1,worst and useless without installation,very negative
3,but only if you want a terrible installation experience,neutral
1,utterly disspointed with taste,very negative
5,excellent water purifier,very positive
3,marketing tacticsnothing special,neutral
5,best in the market have a look at description for details,very positive
5,great product,very positive
5,good quality water filter,very positive
4,excellent service from flipkart,positive
5,the power of livpure pep pro technology is most innovative,very positive
4,the best for the price range in the market,positive
4,"timely delivery , next day installation a top class service",positive
5,awesome product,very positive
5,best in the class,very positive
5,best in the market  superb  purifier,very positive
3,good machine but hidden cost not mention,neutral
2,bad product with poor quality materials,negative
5,worth every penny  brilliant,very positive
4,a good water purifier in budget with good aftersale service,positive
4,great product value for money,positive
4,good machine but their outsourced service will cheat you,positive
5,nyc product,very positive
3,not a premium product,neutral
5,a product that put a smile on my face,very positive
5,go for it without any second thoughts,very positive
5,nice product with free installation service,very positive
5,fabulous product,very positive
4,product is proportionate to the cost,positive
5,best among the water purifiers in this segment,very positive
5,seamless buy  installation,very positive
5,this product is very good and taste enhancer works perfect,very positive
5,quality service at best price,very positive
4,cheated by flipkart on price,positive
4,best water purifier in this price range,positive
5,product  1010,very positive
5,fair enough,very positive
5,product is awsm and service is worse,very positive
5,good productbut bad service by flipkart,very positive
5,best ro within range,very positive
5,nice product,very positive
5,super great deal and quality,very positive
4,best aqua guard at affordable price,positive
5,good deal,very positive
5,best product  worth buying,very positive
5,sasta roye ek bar,very positive
5,livepure pep pro 7l ro,very positive
5,water purifier,very positive
1,product quality issues,very negative
5,go fot it ,very positive
4,one word go for livpure,positive
5,awesome product with quick delivery,very positive
5,best product,very positive
2,not great,negative
5,excellent and value for money wet grinder,very positive
3,not a good design,neutral
5,happy with product,very positive
5,nice product from flipkart,very positive
5,wonderful product and quick delivery,very positive
3,okay,neutral
5,it is very good product,very positive
5,all in one,very positive
5,good choice for a busy household,very positive
5,"look classy, elegant, convenient with timer",very positive
4,perfect product and ideal,positive
5,the best at the price point,very positive
5,easy to grind,very positive
5,good grinder,very positive
5,grind to your hearts content,very positive
2,bad choice,negative
5,kent aura is a really good product,very positive
5,best air purifier,very positive
5,suitable for polluted delhi,very positive
5,best,very positive
4,"good product, but manual is misleading about 3 filters",positive
5,good investment for people living in polluted environment,very positive
5,very nice product at this price,very positive
5,effective and good valueformoney,very positive
5,great budget buy,very positive
1,bad product  absolutely painful service,very negative
2,product and customer service should both be good  beware,negative
